Team,Year,Seed,Region,Bid type,Coach,Record,Eliminated,Round Reached
Iowa State,2012,8,South,At Large,Fred Hoiberg,23-11,2,Second Round
Iowa State,2005,9,East,At Large,Wayne Morgan,19-12,2,Second Round
Iowa State,2001,2,West,At Large,Larry Eustachy,25-6,1,First Round
Iowa State,2000,2,Midwest,Automatic Qualifier,Larry Eustachy,32-5,4,Elite Eight
Iowa State,1997,6,Midwest,At Large,Tim Floyd,22-9,3,Sweet 16
Iowa State,1996,5,Midwest,Automatic Qualifier,Tim Floyd,24-9,2,Second Round
Iowa State,1995,7,Southeast,At Large,Tim Floyd,23-11,2,Second Round
Iowa State,1993,8,West,At Large,Johnny Orr,20-11,1,First Round
Iowa State,1992,10,East,At Large,Johnny Orr,21-13,2,Second Round
Iowa State,1989,10,Southeast,At Large,Johnny Orr,17-12,1,First Round
Iowa State,1988,12,East,At Large,Johnny Orr,20-12,1,First Round
Iowa State,1986,7,Midwest,At Large,Johnny Orr,22-11,3,Sweet 16
Iowa State,1985,13,Midwest,At Large,Johnny Orr,21-13,1,First Round
IUPUI,2003,16,Midwest,Automatic Qualifier,Ron Hunter,20-14,1,First Round
Jackson State,2007,16,Midwest,Automatic Qualifier,Tevester Anderson,21-14,1,First Round
Jackson State,2000,16,West,Automatic Qualifier,Andy Stoglin,17-16,1,First Round
Jackson State,1997,16,Southeast,Automatic Qualifier,Andy Stoglin,14-16,1,First Round
Jacksonville,1986,8,Midwest,Automatic Qualifier,Bob Wenzel,21-10,1,First Round
Jacksonville State,2017,15,Midwest,Automatic Qualifier,Ray Harper,20-15,1,First Round
James Madison,2013,16,East,Automatic Qualifier,Matt Brady,21-15,1,First Round
James Madison,1994,14,East,Automatic Qualifier,Lefty Driesell,20-10,1,First Round
Kansas,2017,1,Midwest,At Large,Bill Self,31-5,4,Elite Eight
Kansas,2016,1,South,Automatic Qualifier,Bill Self,-,4,Elite Eight
Kansas,2015,2,Midwest,At Large,Bill Self,-,2,Second Round
Kansas,2014,2,South,At Large,Bill Self,25-10,2,Second Round
Kansas,2013,1,South,Automatic Qualifier,Bill Self,31-6,3,Sweet 16
Kansas,2012,2,Midwest,At Large,Bill Self,32-7,6,National Championship
Kansas,2011,1,Southwest,Automatic Qualifier,Bill Self,26-3,4,Elite Eight
Kansas,2010,1,Midwest,Automatic Qualifier,Bill Self,33-3,2,Second Round
Kansas,2009,3,Midwest,At Large,Bill Self,27-8,3,Sweet 16
Kansas,2008,1,Midwest,Automatic Qualifier,Bill Self,37-3,6,National Championship
Kansas,2007,1,West,Automatic Qualifier,Bill Self,33-5,4,Elite Eight
Kansas,2006,4,West,Automatic Qualifier,Bill Self,24-8,1,First Round
Kansas,2005,3,East,At Large,Bill Self,23-7,1,First Round
Kansas,2004,4,Midwest,At Large,Bill Self,24-9,4,Elite Eight
Kansas,2003,2,West,At Large,Roy Williams,30-8,6,National Championship
Kansas,2002,1,Midwest,At Large,Roy Williams,33-4,5,Final Four
Kansas,2001,4,Midwest,At Large,Roy Williams,26-7,3,Sweet 16
Kansas,2000,8,East,At Large,Roy Williams,24-10,2,Second Round
Kansas,1999,6,Midwest,Automatic Qualifier,Roy Williams,23-10,2,Second Round
Kansas,1998,1,Midwest,Automatic Qualifier,Roy Williams,35-4,2,Second Round
Kansas,1997,1,Southeast,Automatic Qualifier,Roy Williams,34-2,3,Sweet 16
Kansas,1996,2,West,At Large,Roy Williams,29-5,4,Elite Eight
Kansas,1995,1,Midwest,At Large,Roy Williams,25-6,3,Sweet 16
Kansas,1994,4,Southeast,At Large,Roy Williams,27-8,3,Sweet 16
Kansas,1993,2,Midwest,At Large,Roy Williams,29-7,5,Final Four
Kansas,1992,1,Midwest,Automatic Qualifier,Roy Williams,27-5,2,Second Round
Kansas,1991,3,Southeast,At Large,Roy Williams,27-8,6,National Championship
Kansas,1990,2,East,At Large,Roy Williams,30-5,2,Second Round
Kansas,1988,6,Midwest,At Large,Larry Brown,27-11,6,National Championship
Kansas,1987,5,Southeast,At Large,Larry Brown,25-11,3,Sweet 16
Kansas,1986,1,Midwest,Automatic Qualifier,Larry Brown,35-4,5,Final Four
Kansas,1985,3,Southeast,At Large,Larry Brown,26-8,2,Second Round
Kansas State,2017,11,South,At Large,Bruce Weber,21-14,1,First Round
Kansas State,2014,9,Midwest,At Large,Bruce Weber,20-13,1,First Round
Kansas State,2013,4,West,At Large,Bruce Weber,27-8,1,First Round
Kansas State,2012,8,East,At Large,Frank Martin,22-11,2,Second Round
Kansas State,2011,5,Southeast,At Large,Frank Martin,23-11,2,Second Round
Kansas State,2010,2,West,At Large,Frank Martin,28-8,4,Elite Eight
Kansas State,2008,11,Midwest,At Large,Frank Martin,21-12,2,Second Round
Kansas State,1996,10,East,At Large,Tom Asbury,17-12,1,First Round
Kansas State,1993,6,Southeast,At Large,Dana Altman,19-11,1,First Round
Kansas State,1990,11,Midwest,At Large,Lon Kruger,17-15,1,First Round
Kansas State,1989,6,East,At Large,Lon Kruger,19-11,1,First Round
Kansas State,1988,4,Midwest,At Large,Lon Kruger,25-9,4,Elite Eight
Kansas State,1987,9,West,At Large,Lon Kruger,20-11,2,Second Round
Kent State,2017,14,South,Automatic Qualifier,Rob Senderoff,22-14,1,First Round
Kent State,2008,9,Midwest,Automatic Qualifier,Jim Christian,28-7,1,First Round
Kent State,2006,12,West,Automatic Qualifier,Jim Christian,25-9,1,First Round
Kent State,2002,10,South,Automatic Qualifier,Stan Heath,30-6,4,Elite Eight
Kent State,2001,13,West,Automatic Qualifier,Gary Waters,24-10,2,Second Round
Kent State,1999,11,East,Automatic Qualifier,Gary Waters,23-7,1,First Round
Kentucky,2017,2,South,Automatic Qualifier,John Calipari,32-6,4,Elite Eight
Kentucky,2016,4,East,At Large,John Calipari,-,2,Second Round
Kentucky,2015,1,Midwest,Automatic Qualifier,John Calipari,-,5,Final Four
Kentucky,2014,8,Midwest,At Large,John Calipari,29-11,6,National Championship
Kentucky,2012,1,South,At Large,John Calipari,38-2,6,National Championship
Kentucky,2011,4,East,Automatic Qualifier,John Calipari,29-9,5,Final Four
Kentucky,2010,1,East,Automatic Qualifier,John Calipari,35-3,4,Elite Eight
Kentucky,2008,11,South,At Large,Billy Gillispie,18-13,1,First Round
Kentucky,2007,8,West,At Large,Tubby Smith,22-12,2,Second Round
Kentucky,2006,8,East,At Large,Tubby Smith,22-13,2,Second Round
Kentucky,2005,2,South,At Large,Tubby Smith,28-6,4,Elite Eight
Kentucky,2004,1,Midwest,Automatic Qualifier,Tubby Smith,27-5,2,Second Round
Kentucky,2003,1,Midwest,Automatic Qualifier,Tubby Smith,32-4,4,Elite Eight
Kentucky,2002,4,East,At Large,Tubby Smith,22-10,3,Sweet 16
Kentucky,2001,2,East,Automatic Qualifier,Tubby Smith,24-10,3,Sweet 16
Kentucky,2000,5,Midwest,At Large,Tubby Smith,23-10,2,Second Round
Kentucky,1999,3,Midwest,Automatic Qualifier,Tubby Smith,28-9,4,Elite Eight
Kentucky,1998,2,South,Automatic Qualifier,Tubby Smith,35-4,6,National Championship
Kentucky,1997,1,West,Automatic Qualifier,Rick Pitino,35-5,6,National Championship
Kentucky,1996,1,Midwest,At Large,Rick Pitino,34-2,6,National Championship
Kentucky,1995,1,Southeast,Automatic Qualifier,Rick Pitino,28-5,4,Elite Eight
Kentucky,1994,3,Southeast,Automatic Qualifier,Rick Pitino,27-7,2,Second Round
Kentucky,1993,1,Southeast,Automatic Qualifier,Rick Pitino,30-4,5,Final Four
Kentucky,1992,2,East,Automatic Qualifier,Rick Pitino,29-7,4,Elite Eight
Kentucky,1988,2,Southeast,Automatic Qualifier,Eddie Sutton,27-6,3,Sweet 16
Kentucky,1987,8,Southeast,At Large,Eddie Sutton,18-11,1,First Round
Kentucky,1986,1,Southeast,Automatic Qualifier,Eddie Sutton,32-4,4,Elite Eight
Kentucky,1985,12,West,At Large,Joe B. Hall,18-13,3,Sweet 16
La Salle,2013,13,West,At Large,John Giannini,24-10,3,Sweet 16
La Salle,1992,13,East,Automatic Qualifier,Speedy Morris,20-11,1,First Round
La Salle,1990,4,East,Automatic Qualifier,Speedy Morris,30-2,2,Second Round
La Salle,1989,8,Southeast,Automatic Qualifier,Speedy Morris,26-6,1,First Round
La Salle,1988,13,Midwest,Automatic Qualifier,Speedy Morris,24-10,1,First Round
Lafayette,2015,16,East,Automatic Qualifier,Fran O'Hanlon,-,1,First Round
Lafayette,2000,15,East,Automatic Qualifier,Fran O'Hanlon,24-7,1,First Round
Lafayette,1999,15,East,Automatic Qualifier,Fran O'Hanlon,22-8,1,First Round
Lamar,2012,16,Midwest,Automatic Qualifier,Pat Knight,23-12,0,Play-In
Lamar,2000,16,East,Automatic Qualifier,Mike Deane,15-16,1,First Round
Lehigh,2012,15,South,Automatic Qualifier,Brett Reed,27-8,2,Second Round
Lehigh,2010,16,Midwest,Automatic Qualifier,Brett Reed,22-11,1,First Round
Lehigh,2004,16,Midwest,Automatic Qualifier,Billy Taylor,20-11,0,Play-In
Lehigh,1988,16,East,Automatic Qualifier,Fran McCaffery,21-10,1,First Round
Lehigh,1985,16,East,Automatic Qualifier,Tom Schneider,12-19,1,First Round
Liberty,2013,16,Midwest,Automatic Qualifier,Dale Layer,15-21,0,Play-In
Liberty,2004,16,East,Automatic Qualifier,Randy Dunton,18-15,1,First Round
Liberty,1994,16,East,Automatic Qualifier,Jeff Meyer,18-12,1,First Round
Long Beach State,2012,12,West,Automatic Qualifier,Dan Monson,25-9,1,First Round
Long Beach State,2007,12,South,Automatic Qualifier,Larry Reynolds,24-8,1,First Round
Long Beach State,1995,13,West,Automatic Qualifier,Seth Greenberg,20-10,1,First Round
Long Beach State,1993,11,West,Automatic Qualifier,Seth Greenberg,22-10,1,First Round
Long Island,2013,16,East,Automatic Qualifier,Jack Perri,20-14,0,Play-In
Long Island,2012,16,West,Automatic Qualifier,Jim Ferry,25-9,1,First Round
Long Island,2011,15,East,Automatic Qualifier,Jim Ferry,27-6,1,First Round
Long Island,1997,13,East,Automatic Qualifier,Ray Haskins,21-9,1,First Round
Louisiana Tech,1991,12,Southeast,Automatic Qualifier,Jerry Loyd,21-10,1,First Round
Louisiana Tech,1989,9,Southeast,At Large,Tommy Joe Eagles,23-9,2,Second Round
Louisiana Tech,1987,14,Midwest,Automatic Qualifier,Tommy Joe Eagles,22-8,1,First Round
Louisiana Tech,1985,5,Midwest,Automatic Qualifier,Andy Russo,29-3,3,Sweet 16
Louisiana-Lafayette,2014,14,West,Automatic Qualifier,Bob Marlin,23-12,1,First Round
Louisiana-Lafayette,2005,13,West,Automatic Qualifier,Robert Lee,20-11,1,First Round
Louisiana-Lafayette,2004,14,West,Automatic Qualifier,Jesse Evans,20-9,1,First Round
Louisiana-Lafayette,2000,13,South,Automatic Qualifier,Jesse Evans,25-9,1,First Round
Louisiana-Lafayette,1994,11,Southeast,Automatic Qualifier,Marty Fletcher,22-8,1,First Round
Louisiana-Lafayette,1992,13,West,Automatic Qualifier,Marty Fletcher,20-12,2,Second Round
Louisiana-Monroe,1996,15,Midwest,Automatic Qualifier,Mike Vining,16-14,1,First Round
Louisiana-Monroe,1993,13,Southeast,Automatic Qualifier,Mike Vining,26-5,1,First Round
Louisiana-Monroe,1992,15,Midwest,Automatic Qualifier,Mike Vining,19-10,1,First Round
Louisiana-Monroe,1991,15,Midwest,Automatic Qualifier,Mike Vining,25-8,1,First Round
Louisiana-Monroe,1990,15,Midwest,Automatic Qualifier,Mike Vining,22-8,1,First Round
Louisiana-Monroe,1986,13,West,Automatic Qualifier,Mike Vining,20-10,1,First Round
Louisville,2017,2,Midwest,At Large,Rick Pitino,25-9,2,Second Round
Louisville,2015,4,East,At Large,Rick Pitino,-,4,Elite Eight
Louisville,2014,4,Midwest,Automatic Qualifier,Rick Pitino,31-6,3,Sweet 16
Louisville,2013,1,Midwest,Automatic Qualifier,Rick Pitino,35-5,6,National Championship
Louisville,2012,4,West,Automatic Qualifier,Rick Pitino,30-10,5,Final Four
Louisville,2011,4,Southwest,At Large,Rick Pitino,25-10,1,First Round
Louisville,2010,9,South,At Large,Rick Pitino,20-13,1,First Round
Louisville,2009,1,Midwest,Automatic Qualifier,Rick Pitino,31-6,4,Elite Eight
Louisville,2008,3,East,At Large,Rick Pitino,27-9,4,Elite Eight
Louisville,2007,6,South,At Large,Rick Pitino,24-10,2,Second Round
Louisville,2005,4,West,Automatic Qualifier,Rick Pitino,33-5,5,Final Four
Louisville,2004,10,South,At Large,Rick Pitino,20-10,1,First Round
Louisville,2003,4,East,Automatic Qualifier,Rick Pitino,25-7,2,Second Round
Louisville,2000,7,West,At Large,Denny Crum,19-12,1,First Round
Louisville,1999,7,South,At Large,Denny Crum,19-11,1,First Round
Louisville,1997,6,East,At Large,Denny Crum,26-9,4,Elite Eight
Louisville,1996,6,Midwest,At Large,Denny Crum,22-12,3,Sweet 16
Louisville,1995,11,Midwest,Automatic Qualifier,Denny Crum,19-14,1,First Round
Louisville,1994,3,West,Automatic Qualifier,Denny Crum,28-6,3,Sweet 16
Louisville,1993,4,Midwest,Automatic Qualifier,Denny Crum,22-9,3,Sweet 16
Louisville,1992,8,West,At Large,Denny Crum,19-11,2,Second Round
Louisville,1990,4,West,Automatic Qualifier,Denny Crum,27-8,2,Second Round
Louisville,1989,4,Midwest,Automatic Qualifier,Denny Crum,24-9,3,Sweet 16
Louisville,1988,5,Southeast,Automatic Qualifier,Denny Crum,24-11,3,Sweet 16
Louisville,1986,2,West,Automatic Qualifier,Denny Crum,32-7,6,National Championship
Loyola (Ill.),1985,4,East,Automatic Qualifier,Gene Sullivan,27-6,3,Sweet 16
Loyola (Md.),2012,15,East,At Large,Jimmy Patsos,24-9,1,First Round
Loyola (Md.),1994,15,West,Automatic Qualifier,Skip Prosser,17-13,1,First Round
Loyola Marymount,1990,11,West,Automatic Qualifier,Paul Westhead,26-6,4,Elite Eight
Loyola Marymount,1989,12,Midwest,Automatic Qualifier,Paul Westhead,20-11,1,First Round
Loyola Marymount,1988,10,West,Automatic Qualifier,Paul Westhead,28-4,2,Second Round
LSU,2015,9,East,At Large,Johnny Jones,-,1,First Round
LSU,2009,8,South,At Large,Trent Johnson,27-8,2,Second Round
LSU,2006,4,South,At Large,John Brady,27-9,5,Final Four
LSU,2005,6,Midwest,At Large,John Brady,20-10,1,First Round
LSU,2003,8,South,At Large,John Brady,21-11,1,First Round
LSU,2000,4,West,At Large,John Brady,28-6,3,Sweet 16
LSU,1993,11,Midwest,At Large,Dale Brown,22-11,1,First Round
LSU,1992,7,West,At Large,Dale Brown,21-10,2,Second Round
LSU,1991,6,Midwest,At Large,Dale Brown,20-10,1,First Round
LSU,1990,5,Southeast,At Large,Dale Brown,23-9,2,Second Round
LSU,1989,10,West,At Large,Dale Brown,20-12,1,First Round
LSU,1988,9,East,At Large,Dale Brown,16-14,1,First Round
LSU,1987,10,Midwest,At Large,Dale Brown,24-15,4,Elite Eight
LSU,1986,11,Southeast,At Large,Dale Brown,26-12,5,Final Four
LSU,1985,4,Southeast,At Large,Dale Brown,19-10,1,First Round
Manhattan,2015,16,Midwest,Automatic Qualifier,Steve Masiello,-,0,Play-In
Manhattan,2014,13,Midwest,Automatic Qualifier,Steve Masiello,25-8,1,First Round
Manhattan,2004,12,East,Automatic Qualifier,Bobby Gonzalez,25-6,2,Second Round
Manhattan,2003,14,East,Automatic Qualifier,Bobby Gonzalez,23-7,1,First Round
Manhattan,1995,13,Southeast,At Large,Fran Fraschilla,26-5,2,Second Round
Manhattan,1993,11,East,Automatic Qualifier,Fran Fraschilla,23-7,1,First Round
Marist,1987,14,West,Automatic Qualifier,Dave Magarity,20-10,1,First Round
Marist,1986,15,Southeast,Automatic Qualifier,Matt Furjanic,19-12,1,First Round
Marquette,2017,10,East,At Large,Steve Wojciechowski,19-13,1,First Round
Marquette,2013,3,East,At Large,Buzz Williams,26-9,4,Elite Eight
Marquette,2012,3,West,At Large,Buzz Williams,27-8,3,Sweet 16
Marquette,2011,11,East,At Large,Buzz Williams,22-15,3,Sweet 16
Marquette,2010,6,East,At Large,Buzz Williams,22-12,1,First Round
Marquette,2009,6,West,At Large,Buzz Williams,25-10,2,Second Round
Marquette,2008,6,South,At Large,Tom Crean,25-10,2,Second Round
Marquette,2007,8,East,At Large,Tom Crean,24-10,1,First Round
Marquette,2006,7,West,At Large,Tom Crean,20-11,1,First Round
Marquette,2003,3,Midwest,At Large,Tom Crean,27-6,5,Final Four
Marquette,2002,5,East,At Large,Tom Crean,26-7,1,First Round
Marquette,1997,7,Southeast,Automatic Qualifier,Mike Deane,22-9,1,First Round
Marquette,1996,4,East,At Large,Mike Deane,23-8,2,Second Round
Marquette,1994,6,Southeast,At Large,Kevin O'Neill,24-9,3,Sweet 16
Marquette,1993,12,Midwest,At Large,Kevin O'Neill,20-8,1,First Round
Marshall,1987,13,East,Automatic Qualifier,Ricky Huckabay,25-6,1,First Round
Marshall,1985,15,West,Automatic Qualifier,Ricky Huckabay,21-13,1,First Round
Maryland,2017,6,West,At Large,Mark Turgeon,24-9,1,First Round
Maryland,2016,5,South,At Large,Mark Turgeon,-,3,Sweet 16
Maryland,2015,4,Midwest,At Large,Mark Turgeon,-,2,Second Round
Maryland,2010,4,Midwest,At Large,Gary Williams,24-9,2,Second Round
Maryland,2009,10,West,At Large,Gary Williams,21-14,2,Second Round
Maryland,2007,4,Midwest,At Large,Gary Williams,25-9,2,Second Round
Maryland,2004,4,West,Automatic Qualifier,Gary Williams,20-12,2,Second Round
Maryland,2003,6,South,At Large,Gary Williams,21-10,3,Sweet 16
Maryland,2002,1,East,At Large,Gary Williams,32-4,6,National Championship
Maryland,2001,3,West,At Large,Gary Williams,25-11,5,Final Four
Maryland,2000,3,Midwest,At Large,Gary Williams,25-10,2,Second Round
Maryland,1999,2,South,At Large,Gary Williams,28-6,3,Sweet 16
Maryland,1998,4,West,At Large,Gary Williams,21-11,3,Sweet 16
Maryland,1997,5,Southeast,At Large,Gary Williams,21-11,1,First Round
Maryland,1996,7,West,At Large,Gary Williams,17-13,1,First Round
Maryland,1995,3,West,At Large,Gary Williams,26-8,3,Sweet 16
Maryland,1994,10,Midwest,At Large,Gary Williams,18-12,3,Sweet 16
Maryland,1988,7,Southeast,At Large,Bob Wade,18-13,2,Second Round
Maryland,1986,5,West,At Large,Lefty Driesell,19-14,2,Second Round
Maryland,1985,5,Southeast,At Large,Lefty Driesell,25-12,3,Sweet 16
Maryland-Baltimore County,2008,15,Midwest,Automatic Qualifier,Randy Monroe,24-9,1,First Round
Massachusetts,2014,6,Midwest,At Large,Derek Kellogg,24-9,1,First Round
Massachusetts,1998,7,South,At Large,Bruiser Flint,21-11,1,First Round
Massachusetts,1997,11,East,At Large,Bruiser Flint,19-14,1,First Round
Massachusetts,1996,1,East,Automatic Qualifier,John Calipari,35-2,5,Final Four
Massachusetts,1995,2,East,Automatic Qualifier,John Calipari,29-5,4,Elite Eight
Massachusetts,1994,2,Midwest,Automatic Qualifier,John Calipari,28-7,2,Second Round
Massachusetts,1993,3,East,Automatic Qualifier,John Calipari,24-7,2,Second Round
Massachusetts,1992,3,East,Automatic Qualifier,John Calipari,30-5,3,Sweet 16
McNeese State,2002,14,Midwest,Automatic Qualifier,Tic Price,21-9,1,First Round
McNeese State,1989,16,Midwest,Automatic Qualifier,Steve Welch,16-14,1,First Round
Memphis,2014,8,East,At Large,Josh Pastner,24-10,2,Second Round
Memphis,2013,6,Midwest,Automatic Qualifier,Josh Pastner,31-5,2,Second Round
Memphis,2012,8,West,Automatic Qualifier,Josh Pastner,26-9,1,First Round
Memphis,2011,12,West,Automatic Qualifier,Josh Pastner,25-10,1,First Round
Memphis,2009,2,West,Automatic Qualifier,John Calipari,33-4,3,Sweet 16
Memphis,2008,1,South,Automatic Qualifier,John Calipari,38-2,6,National Championship
Memphis,2007,2,South,Automatic Qualifier,John Calipari,33-4,4,Elite Eight
Memphis,2006,1,West,Automatic Qualifier,John Calipari,33-4,4,Elite Eight
Memphis,2004,7,East,At Large,John Calipari,22-8,2,Second Round
Memphis,2003,7,West,At Large,John Calipari,23-7,1,First Round
Memphis,1996,5,West,At Large,Larry Finch,22-8,1,First Round
Memphis,1995,6,Midwest,At Large,Larry Finch,24-10,3,Sweet 16
Memphis,1993,10,Southeast,At Large,Larry Finch,20-12,1,First Round
Memphis,1992,6,Midwest,At Large,Larry Finch,23-11,4,Elite Eight
Memphis,1989,5,West,At Large,Larry Finch,21-11,1,First Round
Memphis,1988,9,Midwest,At Large,Larry Finch,20-12,2,Second Round
Memphis,1986,3,Southeast,At Large,Dana Kirk,28-6,2,Second Round
Memphis,1985,2,Midwest,Automatic Qualifier,Dana Kirk,31-4,5,Final Four
Mercer,2014,14,Midwest,Automatic Qualifier,Bob Hoffman,27-9,2,Second Round
Mercer,1985,15,East,Automatic Qualifier,Bill Bibb,22-9,1,First Round
Miami (Fla.),2017,8,Midwest,At Large,Jim Larranaga,21-12,1,First Round
Miami (Fla.),2016,3,South,At Large,Jim Larranaga,-,3,Sweet 16
Miami (Fla.),2013,2,East,Automatic Qualifier,Jim Larranaga,29-7,3,Sweet 16
Miami (Fla.),2008,7,South,At Large,Frank Haith,23-11,2,Second Round
Miami (Fla.),2002,5,West,At Large,Leonard Hamilton,24-8,1,First Round
Miami (Fla.),2000,6,South,At Large,Leonard Hamilton,23-11,3,Sweet 16
Miami (Fla.),1999,2,East,At Large,Leonard Hamilton,23-7,2,Second Round
Miami (Fla.),1998,11,South,At Large,Leonard Hamilton,18-10,1,First Round
Miami (Ohio),2007,14,Midwest,Automatic Qualifier,Charlie Coles,18-15,1,First Round
Miami (Ohio),1999,10,Midwest,At Large,Charlie Coles,24-8,3,Sweet 16
Miami (Ohio),1997,13,Midwest,Automatic Qualifier,Charlie Coles,21-9,1,First Round
Miami (Ohio),1995,12,Midwest,At Large,Herb Sendek,23-7,2,Second Round
Miami (Ohio),1992,13,Southeast,Automatic Qualifier,Joby Wright,23-8,1,First Round
Miami (Ohio),1986,10,Midwest,At Large,Jerry Peirson,24-7,1,First Round
Miami (Ohio),1985,12,Southeast,At Large,Jerry Peirson,20-11,1,First Round
Michigan,2017,7,Midwest,Automatic Qualifier,John Beilein,26-12,3,Sweet 16
Michigan,2016,11,East,At Large,John Beilein,23-13,1,First Round
Michigan,2014,2,Midwest,At Large,John Beilein,28-9,4,Elite Eight
Michigan,2013,4,South,At Large,John Beilein,31-8,6,National Championship
Michigan,2012,4,Midwest,At Large,John Beilein,24-10,1,First Round
Michigan,2011,8,West,At Large,John Beilein,21-14,2,Second Round
Michigan,2009,10,South,At Large,John Beilein,21-14,2,Second Round
Michigan,1998,3,South,Automatic Qualifier,Brian Ellerbe,25-9,2,Second Round
Michigan,1996,7,Midwest,At Large,Steve Fisher,20-12,1,First Round
Michigan,1995,9,Midwest,At Large,Steve Fisher,17-14,1,First Round
Michigan,1994,3,Midwest,At Large,Steve Fisher,24-8,4,Elite Eight
Michigan,1993,1,West,At Large,Steve Fisher,31-5,6,National Championship
Michigan,1992,6,Southeast,At Large,Steve Fisher,25-9,6,National Championship
Michigan,1990,3,West,At Large,Steve Fisher,23-8,2,Second Round
Michigan,1989,3,Southeast,At Large,Steve Fisher,30-7,6,National Championship
Michigan,1988,3,West,At Large,Bill Frieder,26-8,3,Sweet 16
Michigan,1987,9,East,At Large,Bill Frieder,20-12,2,Second Round
Michigan,1986,2,Midwest,Automatic Qualifier,Bill Frieder,28-5,2,Second Round
Michigan,1985,1,Southeast,Automatic Qualifier,Bill Frieder,26-4,2,Second Round
Michigan State,2017,9,Midwest,At Large,Tom Izzo,20-15,2,Second Round
Michigan State,2016,2,Midwest,Automatic Qualifier,Tom Izzo,-,1,First Round
Michigan State,2015,7,East,At Large,Tom Izzo,-,5,Final Four
Michigan State,2014,4,East,Automatic Qualifier,Tom Izzo,29-9,4,Elite Eight
Michigan State,2013,3,Midwest,At Large,Tom Izzo,27-9,3,Sweet 16
Michigan State,2012,1,West,Automatic Qualifier,Tom Izzo,29-8,3,Sweet 16
Michigan State,2011,10,Southeast,At Large,Tom Izzo,19-15,1,First Round
Michigan State,2010,5,Midwest,At Large,Tom Izzo,28-9,5,Final Four
Michigan State,2009,2,Midwest,At Large,Tom Izzo,31-7,6,National Championship
Michigan State,2008,5,South,At Large,Tom Izzo,27-9,3,Sweet 16
Michigan State,2007,9,East,At Large,Tom Izzo,23-12,2,Second Round
Michigan State,2006,6,East,At Large,Tom Izzo,22-12,1,First Round
Michigan State,2005,5,South,At Large,Tom Izzo,26-7,5,Final Four
Michigan State,2004,7,Midwest,At Large,Tom Izzo,18-12,1,First Round
Michigan State,2003,7,South,At Large,Tom Izzo,22-13,4,Elite Eight
Michigan State,2002,10,East,At Large,Tom Izzo,19-12,1,First Round
Michigan State,2001,1,South,At Large,Tom Izzo,28-5,5,Final Four
Michigan State,2000,1,Midwest,Automatic Qualifier,Tom Izzo,32-7,6,National Championship
Michigan State,1999,1,Midwest,Automatic Qualifier,Tom Izzo,33-5,5,Final Four
Michigan State,1998,4,East,At Large,Tom Izzo,22-8,3,Sweet 16
Michigan State,1995,3,Southeast,At Large,Jud Heathcote,22-6,1,First Round
Michigan State,1994,7,Southeast,At Large,Jud Heathcote,20-12,2,Second Round
Michigan State,1992,5,Midwest,At Large,Jud Heathcote,22-8,2,Second Round
Michigan State,1991,5,West,At Large,Jud Heathcote,19-11,2,Second Round
Michigan State,1990,1,Southeast,Automatic Qualifier,Jud Heathcote,28-6,3,Sweet 16
Michigan State,1986,5,Midwest,At Large,Jud Heathcote,23-8,3,Sweet 16
Michigan State,1985,10,Midwest,At Large,Jud Heathcote,19-10,1,First Round
Middle Tennessee State,2017,12,South,Automatic Qualifier,Kermit Davis Jr.,31-5,2,Second Round
Middle Tennessee State,2016,15,Midwest,Automatic Qualifier,Kermit Davis Jr.,-,2,Second Round
Middle Tennessee State,2013,11,Midwest,Automatic Qualifier,Kermit Davis Jr.,28-6,0,Play-In
Middle Tennessee State,1989,13,Southeast,Automatic Qualifier,Bruce Stewart,23-8,2,Second Round
Middle Tennessee State,1987,12,East,At Large,Bruce Stewart,22-7,1,First Round
Middle Tennessee State,1985,15,Southeast,Automatic Qualifier,Bruce Stewart,17-14,1,First Round
Milwaukee,2014,15,East,Automatic Qualifier,Rob Jeter,21-14,1,First Round
Milwaukee,2006,11,Midwest,Automatic Qualifier,Rob Jeter,22-9,2,Second Round
Milwaukee,2005,12,Midwest,Automatic Qualifier,Bruce Pearl,26-6,3,Sweet 16
Milwaukee,2003,12,West,Automatic Qualifier,Bruce Pearl,24-8,1,First Round
Minnesota,2017,5,South,At Large,Richard Pitino,24-10,1,First Round
Minnesota,2013,11,South,At Large,Tubby Smith,21-13,2,Second Round
Minnesota,2010,11,West,At Large,Tubby Smith,21-14,1,First Round
Minnesota,2009,10,East,At Large,Tubby Smith,22-11,1,First Round
Minnesota,2005,8,East,At Large,Dan Monson,21-11,1,First Round
Minnesota,1999,7,West,At Large,Clem Haskins,17-11,1,First Round
Minnesota,1997,1,Midwest,Automatic Qualifier,Clem Haskins,31-4,5,Final Four
Minnesota,1995,8,East,At Large,Clem Haskins,19-12,1,First Round
Minnesota,1994,6,West,At Large,Clem Haskins,21-12,2,Second Round
Minnesota,1990,6,Southeast,At Large,Clem Haskins,23-9,4,Elite Eight
Minnesota,1989,11,East,At Large,Clem Haskins,19-12,3,Sweet 16
Mississippi,2015,11,West,At Large,Andy Kennedy,-,1,First Round
Mississippi,2013,12,West,Automatic Qualifier,Andy Kennedy,27-9,2,Second Round
Mississippi,2002,9,West,At Large,Rod Barnes,20-11,1,First Round
Mississippi,2001,3,Midwest,At Large,Rod Barnes,27-8,3,Sweet 16
